,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,source,ID
5234,2016-05-18,1463547600,65.3,46.8,55.5,65.3,44.2,54.9,44.6,70.1,0.0,0.0,0.0,,0.0,0.0,,11.4,64.2,1022.2,43.7,9.2,343.5,29.5,10.0,05:51:02,1463568662,20:11:49,1463620309,0.45,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,obs,1545
5235,2018-04-05,1522900800,31.3,25.7,28.6,27.7,18.2,22.3,20.7,72.5,0.06,100.0,25.0,"['rain', 'snow']",0.7,0.7,34.9,10.9,280.9,1019.3,20.3,7.6,142.1,12.2,7.0,06:45:34,1522925134,19:42:04,1522971724,0.63,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,obs,3578
5236,2020-11-02,1604293200,44.8,33.9,38.6,38.8,25.2,29.7,23.7,55.8,0.0,0.0,0.0,,0.0,0.1,41.1,27.8,273.1,1001.6,45.3,9.9,107.2,9.1,4.0,06:19:13,1604315953,16:35:00,1604352900,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,6280
5237,2015-06-22,1434956400,88.5,57.3,71.6,84.9,57.3,70.8,46.5,44.6,0.0,0.0,0.0,,0.0,0.0,,9.6,182.8,1014.0,0.7,9.9,366.9,31.6,10.0,05:41:00,1434976860,20:33:21,1435030401,0.16,Clear,Clear conditions throughout the day.,clear-day,obs,570
5238,2020-05-28,1590645600,73.1,53.9,63.4,73.1,53.9,63.4,50.1,63.6,0.0,0.0,0.0,,0.0,0.0,16.1,11.3,145.5,1020.0,72.9,9.9,267.0,22.9,10.0,05:35:39,1590665739,20:18:34,1590718714,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,5855
5239,2019-06-03,1559538000,86.5,66.6,77.6,87.6,66.6,77.9,62.5,61.8,0.0,0.0,0.0,,0.0,0.0,12.8,11.4,64.8,1015.7,29.3,8.4,134.3,11.6,10.0,05:45:17,1559558717,20:08:37,1559610517,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,4747
5240,2017-10-31,1509433200,68.1,59.9,62.7,68.1,59.9,62.7,53.6,73.0,0.0,0.0,0.0,,0.0,0.0,,5.5,188.7,1011.9,74.0,9.9,92.2,7.8,4.0,07:08:11,1509458891,17:57:14,1509497834,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs,3082
5241,2015-12-22,1450760400,49.8,45.7,47.6,46.9,40.8,44.0,39.7,75.2,0.65,100.0,33.33,['rain'],0.0,0.0,,14.3,185.6,1013.0,98.0,7.8,17.9,1.7,1.0,07:26:34,1450787194,16:16:12,1450818972,0.45,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,obs,1115
5242,2017-11-09,1510203600,56.9,33.7,43.3,56.9,30.8,42.4,36.9,81.2,0.0,0.0,0.0,,0.0,0.0,,4.8,288.4,1021.7,34.4,8.2,157.6,13.7,6.0,07:06:26,1510229186,17:22:35,1510266155,0.68,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,obs,3128
5243,2015-02-03,1422939600,53.6,31.9,43.1,53.6,26.4,40.3,28.6,58.5,0.0,0.0,0.0,,0.0,0.0,,8.6,128.6,1026.1,0.2,9.9,157.1,13.4,7.0,07:23:00,1422966180,18:07:46,1423004866,0.5,Clear,Clear conditions throughout the day.,clear-day,obs,120
5244,2018-12-13,1544680800,59.7,49.7,53.6,59.7,46.9,53.5,49.1,84.9,0.37,100.0,45.83,['rain'],0.0,0.0,22.8,15.3,131.0,1013.6,97.1,8.9,34.9,2.9,2.0,06:59:38,1544705978,16:48:18,1544741298,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,obs,4317
5245,2015-05-07,1430971200,82.6,43.5,64.1,80.5,43.5,63.8,44.3,55.8,0.0,0.0,0.0,,0.0,0.0,,11.4,163.5,1021.2,0.1,9.6,329.9,28.5,10.0,05:45:44,1430991944,19:59:54,1431043194,0.56,Clear,Clear conditions throughout the day.,clear-day,obs,435
5246,2020-06-09,1591682400,65.3,40.9,51.7,65.3,30.9,47.5,35.8,62.4,0.68,100.0,37.5,['rain'],0.0,0.0,38.9,24.8,274.0,1013.6,60.6,9.3,212.7,18.2,8.0,05:32:02,1591702322,20:27:01,1591756021,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,obs,5910
5247,2019-03-27,1553662800,73.7,48.0,60.3,73.7,45.6,59.9,45.3,59.9,0.0,0.0,0.0,,0.0,0.0,34.5,26.4,159.0,1021.1,11.7,9.9,212.6,18.2,8.0,07:25:42,1553689542,19:49:01,1553734141,0.72,Clear,Clear conditions throughout the day.,clear-day,obs,4602
5248,2016-03-23,1458712800,47.9,23.3,30.9,40.9,10.7,19.3,28.3,91.4,0.54,100.0,66.67,"['rain', 'snow']",7.9,10.9,54.5,36.9,265.9,1007.3,75.0,4.0,92.5,8.1,3.0,06:57:30,1458737850,19:15:41,1458782141,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,obs,1400
5249,2018-04-09,1523246400,36.3,29.4,32.4,36.2,21.6,27.0,23.7,70.4,0.08,100.0,12.5,"['rain', 'snow']",1.3,0.5,,8.5,124.6,1021.7,81.3,8.5,120.4,10.6,4.0,07:01:00,1523271660,20:07:42,1523318862,0.81,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,obs,3597
