longitude,latitude
-156.483,20.894
-77.467,37.548
-86.652,36.051
-122.484,47.206
-84.594,38.99
-106.444,31.813
-97.093,32.68
-115.245,36.106
-119.898,36.808
-114.881,47.19
-77.37,35.584
-118.156,33.875
-95.944,29.789
-80.247,32.981
-81.24,35.193
-117.4,47.706
-86.08,39.817
-97.128,34.157
-75.789,41.326
-121.843,37.355
-111.756,33.365
-116.561,48.282
-97.173,31.58
-102.384,31.882
-122.271,37.804
-117.015,33.745
-83.513,41.632
-103.131,32.774
-118.343,34.009
-74.161,40.63
-98.721,29.79
-76.916,38.865
-72.447,41.79
-122.027,37.395
-117.87,35.702
-119.722,39.184
-70.877,42.064
-121.834,37.295
-99.122,30.051
-95.313,29.799
-121.828,37.273
-90.256,38.658
-83.265,42.604
-118.202,48.117
-82.875,35.512
-117.593,34.019
-81.627,39.553
-87.493,33.207
-122.924,47.286
-75.951,39.61
-78.511,36.008
-93.629,47.263
-119.047,35.411
-97.413,37.673
-77.17,38.265
-73.707,42.723
-115.255,36.168
-81.845,30.333
-86.512,34.274
-74.138,40.099
-79.928,35.896
-106.035,35.606
-75.608,39.958
-82.302,28.061
-112.134,33.466
-80.185,25.897
-86.594,36.267
-86.58,35.517
-111.987,40.606
-122.251,37.812
-117.1,32.792
-118.451,34.205
-96.753,32.771
-98.651,29.669
-111.65,40.11
-73.825,40.908
-94.783,32.526
-115.125,36.22
-98.616,29.554
-87.671,41.851
-96.768,35.976
-110.96,32.147
-105.028,40.407
-81.222,37.269
-81.445,41.338
-104.419,32.827
-112.543,34.72
-119.764,36.735
-98.014,43.714
-123.704,41.187
-97.634,32.917
-71.518,42.867
-86.615,38.547
-78.882,35.984
-117.647,34.034
-76.125,36.79
-76.125,36.79
-80.236,25.769
-93.727,32.485
-103.122,32.706
-119.701,36.789
-147.779,64.827
-88.054,44.498
-94.542,39.045
-147.543,64.806
-118.029,34.079
-74.992,44.668
-117.44,34.07
-86.28,39.836
-121.272,38.134
-118.114,33.955
-75.393,39.834
-105.062,39.958
-86.26,33.178
-84.092,35.965
-91.927,41.469
-95.77,34.933
-95.305,29.003
-87.88,36.969
-117.019,34.884
-89.953,29.93
